Year,Time,Revenue
2013,Jan'13,0
2013,Feb'13,0
2013,Mar'13,0
2013,Apr'13,0
2013,May'13,0
2013,Jun'13,0
2013,Jul'13,0
2013,Aug'13,0
2013,Sep'13,4905877
2013,Oct'13,31676487.92
2013,Nov'13,29863949.49
2013,Dec'13,33936023.81
2014,Jan'14,56083088.24
2014,Feb'14,60779640.47
2014,Mar'14,94173491.36
2014,Apr'14,35692799.48
2014,May'14,32591381
2014,Jun'14,30511541.5
2014,Jul'14,3748827
2014,Aug'14,1520851
2014,Sep'14,22365596
2014,Oct'14,29097668
2014,Nov'14,36096072
2014,Dec'14,54801140
2015,Jan'15,3994381.25
2015,Feb'15,1045703
2015,Mar'15,21970656
2015,Apr'15,35236317
2015,May'15,36374147
2015,Jun'15,37974729
2015,Jul'15,15450813
2015,Aug'15,30441486
2015,Sep'15,50983333
2015,Oct'15,67058871
2015,Nov'15,76571532
2015,Dec'15,93296752
2016,Jan'16,41471251
2016,Feb'16,32814962
2016,Mar'16,74660525
2016,Apr'16,77043123
2016,May'16,11782315
